x,y,class
15.550,28.650,2
14.900,27.550,2
14.450,28.350,2
14.150,28.800,2
13.750,28.050,2
13.350,28.450,2
13.000,29.150,2
13.450,27.500,2
13.600,26.500,2
12.800,27.350,2
12.400,27.850,2
12.300,28.400,2
12.200,28.650,2
13.400,25.100,2
12.950,25.950,2
12.900,26.500,2
11.850,27.000,2
11.350,28.000,2
11.150,28.700,2
11.250,27.400,2
10.750,27.700,2
10.500,28.350,2
9.650,28.450,2
10.250,27.250,2
10.750,26.550,2
11.700,26.350,2
11.600,25.900,2
11.900,25.050,2
12.600,24.050,2
11.900,24.500,2
11.100,25.200,2
10.550,25.150,2
10.050,25.950,2
9.350,26.600,2
9.300,27.250,2
9.200,27.800,2
7.500,28.250,2
8.550,27.450,2
8.500,27.050,2
8.050,27.200,2
7.850,26.800,2
7.300,27.400,2
6.800,26.850,2
7.000,26.500,2
7.550,26.300,2
8.550,26.300,2
9.000,25.850,2
8.600,25.650,2
9.400,25.550,2
8.450,25.050,2
8.850,24.600,2
9.650,24.700,2
10.550,24.350,2
11.050,23.900,2
10.550,23.550,2
9.450,23.350,2
9.200,23.900,2
8.350,23.900,2
7.350,24.750,2
7.400,25.450,2
6.600,25.750,2
6.100,26.000,2
5.800,26.950,2
5.650,25.800,2
5.300,26.100,2
6.400,25.400,2
5.400,25.250,2
5.350,24.700,2
4.800,25.050,2
4.200,25.550,2
6.400,24.800,2
6.550,24.300,2
7.400,24.250,2
5.450,24.200,2
4.300,24.000,2
4.000,24.250,2
3.350,23.300,2
4.850,23.050,2
4.300,22.750,2
5.850,23.400,2
5.900,23.550,2
7.550,23.700,2
6.850,23.250,2
7.650,23.100,2
6.950,22.550,2
6.100,22.600,2
5.500,22.600,2
4.700,22.100,2
3.800,21.850,2
4.650,21.200,2
4.150,20.350,2
5.300,20.400,2
5.600,20.750,2
5.800,21.950,2
6.400,21.950,2
6.550,21.150,2
7.450,21.950,2
7.400,21.550,2
7.750,21.200,2
7.650,20.650,2
6.950,19.800,2
6.600,20.100,2
6.050,20.200,2
5.400,19.650,2
5.350,19.050,2
5.800,18.250,2
6.300,19.100,2
7.000,18.900,2
7.150,17.900,2
7.350,18.200,2
8.200,20.050,2
8.300,19.450,2
8.300,18.500,2
8.750,18.800,2
9.050,18.200,2
9.350,17.700,2
8.900,17.650,2
8.450,17.200,2
10.050,17.200,2
10.400,16.750,2
8.600,20.900,2
8.650,21.300,2
8.650,21.900,2
8.650,22.500,2
8.950,22.800,2
9.950,22.650,2
8.950,22.200,2
9.650,21.900,2
10.550,22.300,2
10.900,22.850,2
11.350,23.450,2
12.050,23.400,2
12.300,22.750,2
11.700,22.150,2
11.150,22.050,2
10.850,21.500,2
10.850,21.050,2
9.600,21.300,2
9.850,20.700,2
9.350,20.600,2
9.250,19.650,2
9.950,19.800,2
10.700,20.350,2
11.300,20.700,2
12.350,21.600,2
13.100,21.300,2
12.850,20.750,2
12.000,20.000,2
11.000,19.850,2
10.350,19.000,2
9.900,18.650,2
10.600,18.150,2
11.400,18.300,2
11.400,19.250,2
12.350,18.800,2
12.800,19.750,2
12.150,18.100,2
11.050,17.500,2
11.950,17.250,2
12.250,17.500,2
13.050,17.400,2
13.750,18.150,2
13.500,18.650,2
13.650,19.250,2
14.000,19.900,2
15.200,18.200,2
15.500,17.150,2
13.900,17.100,2
13.750,16.600,2
12.150,16.400,2
7.800,13.700,7
8.850,13.350,7
9.000,12.700,7
9.700,12.100,7
8.050,12.900,7
7.700,13.250,7
6.800,13.200,7
6.600,13.450,7
6.200,12.550,7
5.400,12.850,7
5.700,12.250,7
5.200,11.900,7
5.150,11.350,7
5.850,11.200,7
6.100,11.750,7
7.000,12.350,7
7.050,12.450,7
7.900,12.500,7
8.550,12.100,7
7.850,11.850,7
7.100,11.950,7
